key,English,Arabic,,
search.title,Hotel,هوتيل,,
search.join,Join,انضم,,
search.join2,Us at Hotel,إلينا في هوتيل,,
search-page.av1,Available flats from,الشقق المتاحة من,,
search-page.av2,to,إلى,,
search-page.av3,change,تغيير,,
search-page.stage1,search,البحث,,
search-page.stage2,flats,الشقق,,
search-page.stage3,information,المعلومات,,
search-page.stage4,confirmation,التثبيت,,
search-page.select,Select your flats:,:اختر الشقق,,
,,,,
stages-search,Search,البحث,,
stages-rooms,Rooms,الشقق,,
stages-information,Information,المعلومات,,
stages-confirmation,Confirmation,التثبيت,,
,,,,
information-page.bf,Book Summary ({0} Nights) from,ملخص الحجز {0} ليلة من,,
information-page.af,to,إلى,,
information-page.rn,Reservation number: ,رقم الحجز:,,
,,,,
confirmation.info.title,Your information,معلوماتك,,
confirmation.info.name,Name,الاسم,,
confirmation.info.phoneNo,Mobile Phone,رقم الموبايل,,
confirmation.info.country,Country,البلد,,
confirmation.info.city,City,المدينة,,
,,,,
confirmation.help.title,"If you need any assistance, Call us:",لطلب المساعدة الرجاء الاتصال على الرقم:,,
confirmation.printBtn,Print My Reservation,طباعة الحجز,,
,,,,
confirmBox.title,"Please, Enter the verification code",يرجى إدخال رمز التحقق,,
confirmBox.text,An SMS message has been sent to {0},تم إرسال رسالة الى الرقم {0},,
confirmBox.verify,Verification code,رمز التحقق,,
confirmBox.noSms,Don’t receive any SMS? Send it Again.,لم تستلم الرسالة ؟ يرجى إرسالها مرة أخرى,,
confirmBox.btn,Confirm,التحقق,,
confirmBox.skip,skip,تخطي,,
confirmBox.inputPlaceHolder,enter 4 digits number here,أدخل رقم مكون من اربعة خانات هنا,,
,,,,
searchBox.checkIn,Check-in,من,,
searchBox.checkOut,Check-out,إلى,,
searchPage.btn,Search,بحث,,
seatchBox.title,Book a room:,حجز غرفة,,
,,,,
resultBox.perNight,per night,كل ليلة,,
resultBox.btn,Book this room,حجز هذه الغرفة,,
,,,,
currency.ksa,SAR,ريال سعودي,,
,,,,
confirmDiv.summaryText,Subtotal ({0} Nights),المجموع ({0} ليلة),,
confirmDiv.nextText,Next,الخطوة التالية,,
confirmDiv.thanks,"Thank You, Your reservation has been confirmed!",شكراً. لقد تم تثبيت الحجز بنجاح!,,
confirmDiv.moreFlats,Add more flats,إضافة المزيد من الشقق,,
,,,,
common.ok,ok,موافق,,
common.cancel,cancel,الغاء,,
common.fail-tryagain,"an error has occurred. please, try again.",فشلت العملية، يرجى المحاولة مرة أخرى.,,
,,,,
chooseCountBtn.selectedText,Selected,تم اختيارها,,
,,,,
summaryTable.flat,Flat,الشقة,,
summaryTable.perNight,Per Night,كل ليلة,,
summaryTable.quantity,Quantity,الكمية,,
summaryTable.total,Total,المجموع,,
summaryTable.subTotal,Sub Total,المجموع الجزئي,,
summaryTable.vat,VAT (5%},الضريبة المضافة,,
,,,,
informationForm.title,Enter your information,يرجى ادخال معلوماتك هنا,,
informationForm.name,Name,الاسم,,
informationForm.namePlaceholder,enter your name here,ادخل اسمك هنا,,
informationForm.mobile,Mobile Phone,رقم الجوال,,
informationForm.mobilePlaceHolder,enter your phone number here,يرجى ادخال رقم جوالك هنا,,
informationForm.city,City,المدينة,,
informationForm.cityPlaceHolder,enter your city here,يرجى ادخال المدينة هنا,,
